,Country,Year,Annual percentage change in coal consumption,"Annual change in coal consumption, measured in terawatt-hours","Per capita primary energy consumption from coal, measured in kilowatt-hours","Primary energy consumption from coal, measured in terawatt-hours","Per capita electricity generation from coal, measured in kilowatt-hours","Electricity generation from coal, measured in terawatt-hours	",Annual percentage change in coal production,"Annual change in coal production, measured in terawatt-hours","Per capita coal production, measured in kilowatt-hours","Coal production, measured in terawatt-hours",Share of electricity generation that comes from coal,Share of primary energy consumption that comes from coal
414,India,1994,3.2,47.662,1625.724,1537.287,279.831,264.609,1.715,24.726,1550.436,1466.095,68.204,55.757
415,Africa,1994,2.608,22.734,1278.796,894.448,257.052,179.794,3.933,51.014,1927.397,1348.109,51.169,32.542
416,Spain,1994,3.095,6.606,5548.725,220.063,1578.741,62.613,-5.397,-6.548,2893.714,114.765,38.686,18.734
417,Australia,1994,2.043,9.375,26309.139,468.264,7691.317,136.894,2.211,32.81,85226.742,1516.91,80.458,42.359
418,Bulgaria,1994,-8.455,-8.219,10500.644,88.991,1992.962,16.89,-3.248,-1.97,6922.42,58.666,44.292,35.255
419,Indonesia,1994,0.035,0.02,295.573,57.317,66.034,12.805,19.181,36.253,1161.635,225.261,27.881,7.168
420,Turkey,1994,0.298,0.547,3200.844,184.254,490.49,28.235,4.826,6.482,2446.013,140.803,36.05,29.019
421,Poland,1994,-6.868,-59.3,20948.104,804.187,3369.961,129.371,-0.074,-0.78,27278.549,1047.209,95.585,74.243
422,Slovakia,1994,-10.808,-7.694,11839.61,63.495,906.227,4.86,2.453,0.272,2116.692,11.352,18.902,30.697
423,Oceania,1994,1.814,8.586,16628.08,481.882,4723.746,136.894,2.049,30.89,53087.609,1538.478,66.668,36.713
424,Czechia,1994,-5.354,-15.413,26297.426,272.467,4076.84,42.24,-8.626,-30.855,31545.539,326.842,71.953,58.409
425,South Korea,1994,2.68,8.055,6884.705,308.573,1416.759,63.499,-21.356,-10.514,863.841,38.717,34.63,19.19
426,Croatia,1994,-37.407,-1.477,530.763,2.472,21.469,0.1,-9.853,-0.102,200.816,0.935,1.14,2.913
427,Upper-middle-income countries,1994,2.784,298.746,5265.046,11028.705,544.444,1140.448,3.498,377.131,5327.535,11159.601,38.431,39.961
428,Iran,1994,0.402,0.051,211.548,12.818,1.568,0.095,14.021,1.272,170.728,10.344,0.117,1.271
429,Ireland,1994,-4.315,-1.543,9586.434,34.204,1872.24,6.68,-4.615,-0.0,2.039,0.007,39.092,26.375
430,North America,1995,1.175,69.22,13095.272,5960.484,4306.352,1960.092,-0.039,-2.624,14740.771,6709.455,45.257,20.148
431,Portugal,1995,22.615,9.013,4842.701,48.869,1328.865,13.41,-100.0,-0.593,0.0,0.0,40.314,20.094
432,Russia,1995,-3.669,-52.88,9366.318,1388.346,1081.419,160.296,-5.045,-77.063,9785.091,1450.419,18.638,18.026
433,Africa,1995,3.133,28.023,1286.086,922.471,260.552,186.886,5.088,68.586,1975.121,1416.695,51.518,32.227
434,Romania,1995,3.348,3.981,5350.558,122.874,896.592,20.59,1.379,1.248,3994.493,91.733,34.742,22.147
435,France,1995,2.374,3.954,2949.658,170.496,418.325,24.18,-4.789,-3.088,1062.05,61.389,4.892,5.918
436,Germany,1995,-5.175,-57.512,12989.361,1053.939,3570.432,289.7,-2.346,-22.086,11330.556,919.346,53.966,26.516
437,North Macedonia,1995,3.142,0.507,8383.812,16.627,2667.327,5.29,5.671,0.698,6562.53,13.015,86.269,58.034
438,Poland,1995,1.701,13.677,21266.053,817.863,3458.495,133.009,2.406,25.2,27884.73,1072.409,95.686,73.766
439,Oceania,1995,3.308,15.94,16938.699,497.822,4829.437,141.935,5.186,79.787,55062.477,1618.266,67.066,36.369
440,Thailand,1995,14.077,10.307,1404.525,83.523,255.016,15.165,6.768,4.076,1081.272,64.3,19.019,13.573
441,Norway,1995,9.181,0.945,2572.229,11.233,13.739,0.06,-2.99,-0.074,549.876,2.401,0.049,2.208
442,Hungary,1995,-1.635,-0.84,4884.07,50.547,877.353,9.08,1.735,0.715,4051.264,41.928,26.692,17.626
443,Greece,1995,-0.336,-0.317,8741.516,93.932,2670.885,28.7,2.028,1.736,8128.281,87.342,69.072,29.651
444,India,1995,6.136,94.326,1692.681,1631.613,307.382,296.292,5.58,81.808,1605.838,1547.903,69.365,55.064
445,Australia,1995,3.396,15.903,26908.49,484.167,7888.329,141.935,4.938,74.908,88468.336,1591.818,81.002,41.945
446,Indonesia,1995,10.051,5.761,320.297,63.077,72.951,14.367,27.289,61.472,1455.986,286.733,26.546,7.248
447,Vietnam,1995,34.578,9.253,480.761,36.014,27.006,2.023,38.245,15.045,725.963,54.382,13.811,28.323
448,South Korea,1995,3.629,11.199,7060.139,319.771,1555.469,70.451,-22.682,-8.782,660.94,29.936,34.612,18.2
449,Iran,1995,-6.341,-0.813,195.385,12.005,1.481,0.091,-11.988,-1.24,148.178,9.104,0.108,1.135
450,Ireland,1995,0.685,0.234,9586.884,34.438,1954.245,7.02,0.0,0.0,2.025,0.007,39.345,26.051
451,Italy,1995,7.561,9.905,2464.514,140.907,482.121,27.565,-35.581,-0.739,23.407,1.338,11.415,7.277
452,Asia,1995,1.539,181.965,3437.963,12006.162,430.736,1504.228,7.194,723.339,3086.113,10777.421,39.502,37.625
453,Japan,1995,3.653,34.53,7754.139,979.856,1334.231,168.601,-9.668,-4.36,322.406,40.741,16.679,16.418
454,South America,1995,1.595,3.44,680.045,219.18,55.894,18.015,8.352,21.69,873.04,281.383,3.154,5.109
455,Kazakhstan,1995,-19.239,-75.682,20057.025,317.69,3031.608,48.019,-20.379,-106.92,26373.145,417.734,71.95,53.062
456,South Africa,1995,3.762,30.083,20024.088,829.713,4188.435,173.551,5.211,67.343,32816.098,1359.76,92.98,74.246
457,High-income countries,1995,0.541,64.864,11611.552,12058.037,2964.725,3078.724,0.839,93.904,10864.437,11282.194,34.972,19.908
458,Lower-middle-income countries,1995,4.535,105.267,1088.532,2426.368,171.824,383.001,3.437,82.448,1113.108,2481.149,37.656,26.838
459,Argentina,1995,4.94,0.349,212.878,7.414,54.783,1.908,-12.104,-0.276,57.532,2.004,2.841,1.18
460,Spain,1995,0.238,0.523,5544.12,220.586,1685.935,67.079,-1.358,-1.558,2845.283,113.206,40.147,18.09
461,Malaysia,1995,9.586,1.697,946.792,19.397,193.971,3.974,-16.418,-0.139,34.428,0.705,8.533,4.874
462,Taiwan,1995,3.093,5.756,8983.494,191.852,2366.765,50.545,-6.866,-0.141,89.747,1.917,37.97,24.483
463,Slovenia,1995,3.733,0.577,8050.535,16.03,2310.251,4.6,0.618,0.1,8181.844,16.291,35.623,21.517
464,World,1995,0.694,178.906,4519.977,25963.682,876.949,5037.376,3.054,774.969,4551.77,26146.303,37.642,25.694
465,Austria,1995,13.776,4.884,5048.57,40.339,540.668,4.32,-5.255,-0.218,492.179,3.933,7.656,10.991
466,Mexico,1995,11.354,5.94,635.572,58.259,168.895,15.481,-1.31,-0.637,523.374,47.974,10.297,4.138
467,Slovakia,1995,-0.289,-0.183,11777.804,63.311,1199.895,6.45,3.44,0.39,2184.378,11.742,24.091,30.184
468,Turkey,1995,4.387,8.083,3288.572,192.337,479.545,28.047,-0.198,-0.279,2402.68,140.524,32.519,27.068
469,Bulgaria,1995,0.012,0.011,10621.663,89.002,2068.191,17.33,4.805,2.819,7337.743,61.485,41.47,32.762
470,United Kingdom,1995,-4.58,-26.493,9526.842,551.913,2679.086,155.206,10.258,35.437,6574.798,380.894,45.997,21.622
471,China,1995,1.246,95.183,6234.767,7736.85,597.851,741.886,9.745,702.626,6376.437,7912.651,73.671,74.733
472,Ukraine,1995,-1.137,-6.819,11651.881,593.125,1379.623,70.228,-12.928,-73.868,9773.159,497.491,36.197,32.065
473,Europe,1995,-1.846,-119.583,8734.204,6357.189,1684.44,1226.019,-2.123,-115.708,7329.551,5334.812,30.063,20.596
474,European Union (27),1995,-1.289,-47.992,8649.201,3674.75,1906.52,810.015,-0.108,-3.11,6780.617,2880.853,33.619,21.24
475,Upper-middle-income countries,1995,0.259,28.549,5226.724,11057.254,564.291,1193.77,5.533,617.428,5566.958,11777.028,38.702,39.881
476,Croatia,1995,-17.787,-0.44,440.237,2.032,51.984,0.24,-35.726,-0.334,130.221,0.601,2.587,2.314
477,United States,1995,0.9,49.91,21092.828,5593.053,6988.161,1853.007,-0.327,-20.193,23235.664,6161.256,51.944,22.978
478,Canada,1995,4.528,13.264,10500.343,306.234,3140.979,91.604,3.777,18.206,17152.051,500.225,16.42,9.055
479,Czechia,1995,0.094,0.257,26329.293,272.724,4280.67,44.34,-3.12,-10.197,30569.566,316.645,72.871,56.091
480,Brazil,1995,4.872,6.398,850.08,137.73,33.591,5.442,-1.898,-0.462,147.467,23.893,1.975,7.198
481,Indonesia,1996,19.201,12.111,376.13,75.189,83.394,16.671,20.339,58.32,1726.119,345.053,28.319,8.058
482,Japan,1996,2.626,25.727,7940.223,1005.582,1409.022,178.444,3.514,1.432,333.002,42.173,17.327,16.53
483,China,1996,4.634,358.539,6467.846,8095.389,658.485,824.184,2.643,209.156,6488.953,8121.807,76.221,74.219
484,Germany,1996,-0.431,-4.537,12904.016,1049.402,3651.766,296.975,-6.404,-58.872,10580.856,860.474,53.735,25.559
485,Ukraine,1996,-24.754,-146.82,8823.666,446.305,1114.146,56.354,-24.348,-121.127,7440.897,376.364,30.797,25.887
486,Russia,1996,-1.852,-25.709,9205.709,1362.637,1085.189,160.631,-3.122,-45.283,9492.828,1405.137,18.961,18.381
487,North Macedonia,1996,-3.246,-0.54,8086.5,16.088,2875.179,5.72,-1.435,-0.187,6448.279,12.828,86.132,48.34
488,Asia,1996,4.196,503.771,3530.909,12509.934,461.426,1634.823,3.164,341.026,3138.165,11118.447,40.898,37.555
489,Ireland,1996,0.545,0.188,9565.986,34.625,1931.135,6.99,-100.0,-0.007,0.0,0.0,36.485,24.767
490,Argentina,1996,4.757,0.353,220.358,7.767,54.389,1.917,1.639,0.033,57.782,2.037,2.748,1.182
491,Austria,1996,0.425,0.172,5052.5,40.51,658.531,5.28,-14.638,-0.576,418.681,3.357,9.577,11.023
492,Oceania,1996,3.936,19.594,17365.012,517.416,4981.493,148.431,3.054,49.42,55969.238,1667.686,68.423,36.803
493,Upper-middle-income countries,1996,3.254,359.778,5345.067,11417.032,604.169,1290.501,1.541,181.505,5598.58,11958.533,40.288,40.254
494,Canada,1996,2.055,6.293,10609.284,312.526,3042.353,89.621,1.744,8.724,17277.197,508.949,15.678,8.996
495,Romania,1996,-0.071,-0.087,5384.072,122.788,897.582,20.47,2.242,2.056,4112.521,93.789,33.366,22.268
496,Africa,1996,1.383,12.757,1271.795,935.228,268.292,197.291,-0.307,-4.344,1920.622,1412.351,51.616,31.865
497,United Kingdom,1996,-6.511,-35.937,8878.765,515.977,2534.159,147.269,-4.933,-18.789,6230.984,362.105,41.973,19.28
498,Thailand,1996,21.67,18.1,1690.046,101.623,292.367,17.58,15.252,9.807,1232.45,74.107,20.209,14.594
499,Turkey,1996,12.486,24.016,3640.878,216.353,511.813,30.414,1.76,2.474,2406.429,142.998,32.061,27.913
500,United States,1996,4.546,254.248,21791.047,5847.301,7251.212,1945.754,2.985,183.923,23646.482,6345.179,53.114,23.239
501,High-income countries,1996,2.989,360.428,11880.634,12418.465,3053.542,3191.775,1.364,153.945,10940.853,11436.14,35.262,19.868
502,Italy,1996,-7.984,-11.25,2272.093,129.658,443.755,25.323,-20.349,-0.272,18.68,1.066,10.357,6.698
503,Taiwan,1996,12.784,24.526,10069.23,216.378,2795.299,60.068,-39.298,-0.753,54.141,1.163,42.313,26.513
504,Greece,1996,-2.72,-2.555,8435.773,91.377,2704.914,29.3,-4.273,-3.732,7718.734,83.61,68.849,28.134
505,Czechia,1996,-0.222,-0.605,26290.891,272.119,4389.244,45.43,1.196,3.788,30958.852,320.433,70.7,54.108
506,Europe,1996,-3.04,-193.29,8468.131,6163.899,1681.432,1223.903,-4.793,-255.72,6977.794,5079.092,29.633,19.823
507,Norway,1996,-0.556,-0.062,2542.662,11.17,11.381,0.05,-21.233,-0.51,430.536,1.891,0.048,2.393
508,Hungary,1996,-1.247,-0.63,4831.059,49.917,930.079,9.61,6.81,2.855,4334.197,44.783,27.387,17.083
509,Lower-middle-income countries,1996,-3.055,-74.124,1035.17,2352.244,170.63,387.727,2.271,56.352,1116.697,2537.501,37.132,25.288
510,Poland,1996,2.359,19.291,21738.801,837.154,3551.42,136.764,-0.874,-9.371,27604.441,1063.038,95.524,71.924
511,India,1996,2.873,46.869,1708.614,1678.483,317.839,312.234,7.174,111.051,1688.735,1658.954,70.449,54.467
512,Croatia,1996,-18.12,-0.368,363.765,1.664,26.23,0.12,-16.504,-0.099,109.724,0.502,1.074,1.766
513,Malaysia,1996,0.479,0.093,927.339,19.49,198.738,4.177,95.536,0.674,65.622,1.379,7.821,4.387
514,European Union (27),1996,0.223,8.181,8658.742,3682.931,1949.75,829.311,-2.376,-68.452,6612.086,2812.401,33.282,20.654
515,Slovenia,1996,-7.712,-1.236,7439.157,14.793,2242.807,4.46,-2.396,-0.39,7996.066,15.901,35.016,18.927
516,France,1996,6.548,11.165,3131.428,181.661,483.348,28.04,-0.892,-0.547,1048.769,60.841,5.462,6.08
517,Brazil,1996,3.187,4.389,863.344,142.119,36.605,6.026,-6.801,-1.625,135.271,22.268,2.069,7.034
518,Iran,1996,4.609,0.553,201.595,12.558,1.477,0.092,-10.369,-0.944,130.996,8.16,0.103,1.091
519,Slovakia,1996,-1.622,-1.027,11566.664,62.284,1093.821,5.89,1.862,0.219,2221.204,11.961,22.865,29.49
520,World,1996,2.382,618.439,4563.544,26582.121,906.104,5277.954,1.357,354.709,4549.62,26501.012,38.254,25.574
521,South Africa,1996,1.542,12.794,19945.246,842.507,4372.955,184.718,0.023,0.319,32198.074,1360.079,92.317,73.92
522,Vietnam,1996,11.702,4.214,528.842,40.228,31.235,2.376,17.641,9.593,841.024,63.976,14.023,27.597
523,Mexico,1996,14.661,8.541,717.143,66.8,198.978,18.534,10.703,5.134,570.159,53.109,11.836,4.599
524,Spain,1996,-15.501,-34.192,4670.48,186.394,1369.868,54.67,-1.243,-1.407,2801.355,111.799,31.338,14.716
525,Bulgaria,1996,-0.426,-0.379,10687.843,88.623,2069.472,17.16,2.17,1.334,7575.944,62.819,40.172,32.754
526,Australia,1996,4.088,19.792,27706.346,503.958,8160.353,148.431,3.07,48.864,90200.539,1640.682,82.403,42.416
527,South Korea,1996,16.747,53.552,8159.883,373.323,1748.64,80.002,-13.444,-4.025,566.349,25.911,35.423,19.239
528,North America,1996,4.509,268.756,13505.973,6229.24,4453.199,2053.909,2.948,197.781,14975.976,6907.236,46.153,20.379
529,Kazakhstan,1996,-10.686,-33.948,18151.498,283.743,2707.357,42.321,-7.793,-32.556,24640.479,385.178,72.04,54.44
530,South America,1996,2.871,6.294,688.185,225.474,59.013,19.335,9.616,27.057,941.411,308.439,3.222,5.057
531,Slovakia,1997,-6.089,-3.793,10849.404,58.491,1166.716,6.29,2.246,0.269,2268.392,12.229,24.816,28.213
532,Australia,1997,5.06,25.5,28794.93,529.458,8564.316,157.474,9.047,148.432,97302.125,1789.114,83.329,43.495
533,Norway,1997,-0.769,-0.086,2507.677,11.085,9.049,0.04,67.826,1.283,718.131,3.174,0.036,2.259
534,Canada,1997,4.515,14.11,10982.179,326.636,3258.849,96.926,3.587,18.258,17725.766,527.206,16.935,9.356
535,South Korea,1997,8.808,32.883,8793.081,406.206,1988.73,91.871,-8.867,-2.298,511.159,23.614,37.257,19.061
536,Lower-middle-income countries,1997,4.271,100.464,1059.189,2452.708,174.86,404.914,4.279,108.589,1142.7,2646.09,37.108,25.637
537,Italy,1997,1.46,1.894,2311.822,131.551,435.28,24.769,57.664,0.615,29.535,1.681,9.85,6.68
538,Taiwan,1997,14.376,31.106,11453.158,247.483,3043.336,65.761,-35.465,-0.413,34.747,0.751,43.699,28.642
539,Malaysia,1997,-3.28,-0.639,874.249,18.851,114.085,2.46,-0.457,-0.006,63.671,1.373,4.104,3.657
540,Argentina,1997,-21.104,-1.639,171.85,6.128,53.173,1.896,-19.032,-0.388,46.245,1.649,2.617,0.922
541,North America,1997,2.213,137.838,13620.767,6367.079,4521.434,2113.561,2.352,162.473,15123.869,7069.709,46.783,20.66
542,World,1997,-0.171,-45.434,4493.906,26536.688,913.383,5393.561,1.467,388.867,4553.718,26889.879,38.174,25.274
543,Hungary,1997,-4.477,-2.235,4625.485,47.682,910.901,9.39,4.441,1.989,4537.192,46.772,26.528,16.723
544,Russia,1997,-7.793,-106.189,8505.029,1256.448,1062.901,157.022,-3.998,-56.173,9131.277,1348.964,18.825,17.921
545,Ukraine,1997,-2.437,-10.877,8676.069,435.428,1099.741,55.193,3.756,14.138,7780.888,390.502,31.007,26.185
546,Vietnam,1997,28.465,11.451,670.001,51.679,43.107,3.325,15.932,10.193,961.56,74.168,17.379,30.776
547,Croatia,1997,70.0,1.165,624.197,2.829,112.523,0.51,-28.422,-0.143,79.275,0.359,4.977,3.03
548,Spain,1997,14.525,27.075,5332.013,213.469,1597.99,63.976,0.198,0.221,2798.034,112.02,33.602,15.973
549,Slovenia,1997,10.873,1.608,8252.65,16.402,2369.863,4.71,3.419,0.544,8274.151,16.445,35.741,20.52
550,North Macedonia,1997,-6.469,-1.041,7524.968,15.047,2880.594,5.76,-6.228,-0.799,6015.987,12.029,85.549,50.133
551,Iran,1997,2.498,0.314,203.876,12.872,1.521,0.096,18.628,1.52,153.326,9.68,0.099,1.085
552,Europe,1997,-4.349,-268.058,8103.574,5895.841,1614.325,1174.519,-1.27,-64.518,6892.312,5014.574,28.325,19.274
553,Czechia,1997,-6.041,-16.438,24731.273,255.68,4423.338,45.73,1.512,4.843,31463.143,325.277,70.792,53.011
554,India,1997,4.58,76.88,1753.784,1755.363,325.534,325.827,3.312,54.951,1712.365,1713.906,69.45,53.978
555,Brazil,1997,0.6,0.852,855.045,142.971,43.719,7.31,17.013,3.788,155.828,26.056,2.374,6.694
556,Romania,1997,-9.128,-11.208,4928.958,111.58,744.779,16.86,-18.123,-16.997,3392.222,76.792,29.502,21.321
557,High-income countries,1997,0.781,96.972,11896.522,12515.437,3096.474,3257.567,2.438,278.766,11135.579,11714.905,35.325,19.8
558,Mexico,1997,0.096,0.064,706.727,66.864,194.393,18.392,-0.775,-0.412,556.985,52.697,11.03,4.528
559,Germany,1997,-3.105,-32.584,12491.74,1016.818,3499.086,284.823,-4.217,-36.283,10125.294,824.191,51.568,25.087
560,Japan,1997,2.721,27.364,8140.308,1032.946,1482.63,188.135,-34.105,-14.383,219.002,27.79,17.835,16.659
561,Oceania,1997,5.135,26.571,18011.686,543.987,5214.042,157.474,8.805,146.836,60079.785,1814.522,69.549,37.892
562,Upper-middle-income countries,1997,-2.256,-257.524,5176.18,11159.508,620.18,1337.068,-0.132,-15.801,5539.467,11942.732,40.528,39.443
563,Asia,1997,0.141,17.697,3486.54,12527.631,478.705,1720.054,0.147,16.34,3098.9,11134.787,41.131,36.548
564,Thailand,1997,3.13,3.181,1722.428,104.804,312.685,19.026,8.087,5.993,1316.43,80.1,20.533,14.306
565,Turkey,1997,11.713,25.342,4003.385,241.695,560.851,33.86,6.692,9.57,2527.104,152.568,32.78,29.81
566,South Africa,1997,2.205,18.579,20031.117,861.087,4486.635,192.869,6.626,90.113,33735.238,1450.192,91.684,73.879
567,France,1997,-12.42,-22.562,2732.68,159.098,380.964,22.18,-17.473,-10.631,862.412,50.21,4.394,5.398
568,Austria,1997,6.068,2.458,5349.086,42.969,725.768,5.83,7.085,0.238,447.507,3.595,10.179,11.45
569,South America,1997,7.609,17.156,728.742,242.63,65.001,21.642,12.343,38.072,1040.752,346.512,3.412,5.161
570,European Union (27),1997,-2.991,-110.144,8394.88,3572.787,1889.652,804.219,-1.157,-32.545,6531.752,2779.856,32.066,20.112
571,Poland,1997,-2.413,-20.199,21194.93,816.955,3534.922,136.253,1.751,18.617,28062.256,1081.655,95.422,70.883
572,United Kingdom,1997,-10.815,-55.801,7892.248,460.176,2091.898,121.973,-2.672,-9.676,6044.332,352.429,34.783,17.497
573,China,1997,-2.019,-163.477,6285.211,7931.912,687.028,867.026,-0.656,-53.312,6393.439,8068.495,76.353,72.232
574,Indonesia,1997,23.328,17.54,457.183,92.729,100.937,20.473,8.878,30.633,1852.257,375.687,28.961,9.157
575,Greece,1997,7.697,7.034,9023.358,98.411,2808.482,30.63,7.191,6.013,8217.593,89.623,70.406,29.46
576,Africa,1997,2.544,23.791,1272.351,959.019,273.364,206.045,6.367,89.922,1993.099,1502.273,51.387,32.023
577,United States,1997,2.112,123.477,21974.523,5970.778,7354.226,1998.243,2.279,144.627,23884.729,6489.806,53.769,23.553
578,Bulgaria,1997,14.028,12.432,12306.087,101.055,2300.347,18.89,-7.218,-4.534,7097.736,58.285,44.132,39.4
579,Kazakhstan,1997,-14.153,-40.157,15811.092,243.586,2415.034,37.206,-5.021,-19.339,23746.553,365.84,71.55,53.002
580,India,1998,3.321,58.297,1778.998,1813.659,330.053,336.484,-0.61,-10.459,1670.891,1703.446,66.62,52.578
581,North America,1998,1.302,82.889,13615.031,6449.968,4546.224,2153.722,2.531,178.915,15300.89,7248.624,46.163,20.798
582,Malaysia,1998,6.72,1.267,909.717,20.118,165.275,3.655,44.495,0.611,89.705,1.984,5.698,4.061
583,Kazakhstan,1998,-1.532,-3.731,15790.116,239.855,2361.093,35.865,-3.636,-13.301,23208.307,352.538,72.019,55.393
584,Austria,1998,-11.959,-5.139,4704.607,37.83,513.614,4.13,1.815,0.065,455.167,3.66,7.161,9.922
585,Japan,1998,-4.669,-48.227,7746.532,984.719,1512.242,192.232,-14.286,-3.97,187.384,23.82,18.141,16.205
586,Hungary,1998,-2.957,-1.41,4501.313,46.272,929.996,9.56,-8.599,-4.022,4158.697,42.75,25.706,15.988
587,Upper-middle-income countries,1998,-1.797,-200.501,5037.829,10959.007,625.851,1361.442,-3.444,-411.302,5300.97,11531.431,40.632,38.817
588,Ukraine,1998,2.482,10.806,8970.154,446.234,1009.518,50.22,2.36,9.217,8035.112,399.719,29.059,27.809
589,Germany,1998,-2.39,-24.306,12192.625,992.512,3596.958,292.802,-8.268,-68.144,9287.749,756.048,52.547,24.692
590,South Korea,1998,3.216,13.063,8993.183,419.268,2135.517,99.559,-3.347,-0.79,489.553,22.823,41.973,21.515
591,Vietnam,1998,7.26,3.752,709.604,55.431,44.549,3.48,2.494,1.85,973.145,76.018,16.046,30.522
592,Russia,1998,-6.367,-79.998,7983.48,1176.451,1105.945,162.973,-6.156,-83.038,8590.664,1265.926,19.703,16.811
593,Croatia,1998,-4.392,-0.124,602.163,2.705,120.216,0.54,4.082,0.015,83.254,0.374,4.711,2.74
594,China,1998,-0.759,-60.195,6188.542,7871.717,701.011,891.674,-4.0,-322.749,6089.508,7745.746,76.407,71.557
595,United States,1998,0.981,58.561,21910.896,6029.338,7373.629,2029.041,3.156,204.797,24328.502,6694.604,52.623,23.633
596,Slovenia,1998,1.269,0.208,8357.703,16.61,2505.806,4.98,-1.116,-0.183,8182.144,16.261,36.337,20.722
597,Spain,1998,-4.707,-10.048,5060.01,203.42,1571.232,63.166,-4.091,-4.582,2672.479,107.438,32.358,14.521
598,Australia,1998,4.462,23.625,29756.414,553.083,8928.049,165.946,2.403,42.988,98568.844,1832.102,83.193,44.377
599,Iran,1998,16.448,2.117,234.309,14.989,1.751,0.112,1.653,0.16,153.825,9.84,0.109,1.213
600,United Kingdom,1998,-2.496,-11.485,7668.628,448.691,2101.708,122.971,-15.003,-52.873,5119.735,299.556,33.904,16.88
601,Slovakia,1998,-8.935,-5.226,9872.629,53.265,1086.14,5.86,0.92,0.112,2287.532,12.342,22.511,25.422
602,South Africa,1998,-3.003,-25.859,19120.535,835.228,4292.979,187.527,1.104,16.008,33565.109,1466.2,91.31,72.944
603,European Union (27),1998,-4.54,-162.195,8010.181,3410.592,1898.73,808.445,-10.717,-297.917,5829.13,2481.939,31.548,19.004
604,Poland,1998,-9.894,-80.83,19088.316,736.125,3526.406,135.993,-13.609,-147.201,24231.129,934.454,95.241,66.666
605,Bulgaria,1998,-4.756,-4.807,11827.542,96.249,2248.801,18.3,1.094,0.638,7240.749,58.923,43.873,39.11
606,World,1998,-0.642,-170.322,4405.564,26366.365,919.683,5504.109,-1.801,-484.418,4412.097,26405.461,37.93,24.951
607,France,1998,18.933,30.122,3237.617,189.22,573.709,33.53,-17.215,-8.644,711.213,41.566,6.558,6.276
608,Africa,1998,-2.292,-21.98,1213.094,937.039,261.118,201.698,1.343,20.174,1970.966,1522.447,49.615,30.814
609,Taiwan,1998,8.494,21.02,12361.174,268.503,3242.752,70.437,-20.133,-0.151,27.607,0.6,43.153,29.311
610,Italy,1998,3.809,5.011,2406.689,136.562,490.406,27.827,-12.5,-0.21,25.917,1.471,10.713,6.779
611,Canada,1998,6.913,22.58,11631.967,349.216,3530.523,105.994,-5.421,-28.578,16608.73,498.629,18.86,10.148
612,South America,1998,-2.137,-5.184,702.088,237.445,67.41,22.798,2.04,7.069,1045.479,353.58,3.459,4.883
613,Brazil,1998,-2.05,-2.931,824.808,140.04,41.073,6.974,-2.145,-0.559,150.173,25.497,2.167,6.325
614,Turkey,1998,3.753,9.071,4088.822,250.766,581.896,35.688,6.3,9.611,2644.381,162.179,32.144,30.159
615,Mexico,1998,2.219,1.484,711.539,68.348,194.549,18.688,5.114,2.695,576.661,55.392,10.321,4.433
616,High-income countries,1998,-0.397,-49.697,11773.83,12465.739,3146.822,3331.751,-0.705,-82.553,10986.7,11632.353,35.166,19.622
617,Norway,1998,8.521,0.945,2704.704,12.029,8.994,0.04,-15.026,-0.477,606.49,2.697,0.034,2.357
618,Thailand,1998,-19.769,-20.719,1365.342,84.085,269.391,16.59,-12.843,-10.287,1133.604,69.813,18.53,12.459
619,Romania,1998,-15.725,-17.546,4185.569,94.034,644.966,14.49,-21.996,-16.891,2666.232,59.9,27.086,19.638
620,Asia,1998,-0.183,-22.929,3432.76,12504.702,488.114,1778.079,-2.85,-317.341,2969.579,10817.446,41.223,36.419
621,Europe,1998,-3.824,-225.481,7799.127,5670.36,1625.478,1181.805,-8.27,-414.695,6326.766,4599.879,28.096,18.436
622,Argentina,1998,34.429,2.11,228.414,8.237,50.134,1.808,15.538,0.256,52.829,1.905,2.438,1.197
623,Greece,1998,4.613,4.539,9384.623,102.95,2958.035,32.45,5.448,4.882,8614.798,94.505,70.043,29.018
624,Indonesia,1998,7.315,6.783,483.714,99.512,109.061,22.437,13.517,50.781,2073.005,426.468,29.255,9.995
625,North Macedonia,1998,29.298,4.408,9669.361,19.455,2937.3,5.91,22.03,2.65,7295.823,14.68,83.854,57.35
626,Czechia,1998,-7.305,-18.678,22958.115,237.002,4389.124,45.31,-6.677,-21.718,29405.338,303.558,69.783,50.612
627,Oceania,1998,4.107,22.344,18503.088,566.33,5421.767,165.946,2.185,39.646,60579.203,1854.169,69.947,38.667
628,Lower-middle-income countries,1998,3.431,84.141,1075.419,2536.849,174.965,412.733,2.053,54.328,1144.758,2700.417,35.952,25.806
629,Italy,1999,-0.134,-0.183,2407.163,136.379,498.185,28.225,-39.153,-0.576,15.794,0.895,10.625,6.584
630,Mexico,1999,1.755,1.2,713.419,69.548,190.885,18.608,2.224,1.232,580.848,56.624,9.795,4.451
631,South Korea,1999,5.843,24.499,9438.448,443.767,2263.677,106.431,-3.761,-0.858,467.172,21.965,40.599,20.897
632,Argentina,1999,20.007,1.648,271.078,9.885,57.75,2.106,15.862,0.302,60.531,2.207,2.608,1.42
633,Greece,1999,-3.809,-3.922,8979.854,99.029,2936.189,32.38,-1.128,-1.066,8472.956,93.439,65.256,27.919
